instname,state,zip,control,medical,hospital,fte_count,tuition,revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
Northwood University,Michigan,48640-2398,2,2,2,4615.517014,77052435,81347493,0.263059097,564,98,229,40,4708,226,39,1939,558,97,8986,394,68,6665,978,17430,17430,50,26880,26880,73041253,152564908,14069543,138495365,14819945,138495365,,68665454,473,1784,167,,,,,,,,,,2424,340,0.439276486,1410,5003,3964,110,110,4074,1039,349,349,1388,5003,459,459,5462,33,83,941,400,3108,,399,498,32,994,1154,670,379,207,158,297,66,0,7,,,4,45,19,20,13,9,0,0,0,32,994,1158,715,398,227,171,306,66,0,7,1,11,22,113,172,138,166,280,131,1,4,,,0,17,92,77,58,83,20,1,1,1,11,22,130,264,215,224,363,151,2,5,1527,934,593,1122,683,439,341,124,217,1527,1122,581,1,19,23,17,23,18,24,430,570,410,480,89,379,1.928278018,8.211431111,916,56819.95506,10.24803935,0.19017094,89,-84.26825,43.627223
Oakland Community College,Michigan,48304-2266,1,2,2,16078.62337,48463303,215475950,0.032823619,1069,55,913,47,6874,154,8,1336,151,8,1398,448,23,4576,105,3051,4281,,,,196894633,393853605,30746573,363107032,15544809,363107032,,,2219,,,,,152,162,,,,,,2219,136,0.127579737,6448,28042,10032,,,10032,18010,,,18010,28042,,,28042,122,692,4873,562,15674,,4332,1787,47,3964,2257,1273,923,494,357,490,204,1,22,,,,,,,,,,,,47,3964,2257,1273,923,494,357,490,204,1,22,367,2177,2595,2893,2835,1863,1610,2282,1219,115,54,,,,,,,,,,,,367,2177,2595,2893,2835,1863,1610,2282,1219,115,54,,,,,,,,,,,,,,,,,,,,,,,,247,811,1.536201168,5.043964159,1691,84796.37652,5.124816852,0.233459357,247,-83.24751,42.595399
Oakland University,Michigan,48309-4401,1,2,2,15100.51232,153787687,253416283,0.12186793,2032,87,666,29,4741,172,7,477,1600,69,3960,1257,54,7221,0,9188,21236,0,12264,21156,235258696,498101825,177020829,321080996,20889476,321080996,,,,2378,864,38,65,,,,30,84,,84,3345,774,0.396923077,4514,15273,11333,1346,1346,12679,3940,2299,2299,6239,15273,3645,3645,18918,73,718,1533,328,14286,,1591,389,277,3942,3336,2391,758,257,145,158,45,1,23,1,,15,400,423,134,127,148,83,6,9,278,3942,3351,2791,1181,391,272,306,128,7,32,88,300,590,1085,761,350,288,303,134,7,34,0,,0,171,696,423,287,437,248,11,26,88,300,590,1256,1457,773,575,740,382,18,60,10070,3884,6186,6912,2592,4320,2466,964,1502,10070,6912,2331,135,19,25,19,25,18,25,,,,,515,528,3.410480315,5.205121412,2250,71641.96071,9.350676125,0.395849347,509,-83.217676,42.673
Olivet College,Michigan,49076,2,2,2,1099.70843,21202943,20847651,0.41922817,280,99,227,80,3407,231,82,1520,279,99,8494,259,92,7600,790,19138,19138,0,3420,3420,16973058,38459549,16123673,22335876,1741135,22335876,,10314450,,177,18,,,,,,,,,,195,82,0.414141414,374,1151,1010,24,24,1034,141,27,27,168,1151,51,51,1202,9,5,135,38,925,,84,6,12,449,309,171,39,18,8,4,0,,0,,,,,1,3,2,1,0,,17,12,449,309,171,40,21,10,5,0,,17,26,9,14,40,26,6,5,9,5,,1,,,,,9,4,2,4,3,,5,26,9,14,40,35,10,7,13,8,,6,1378,654,723,849,440,409,320,170,150,1378,849,320,0,17,22,15,21,16,22,,,,,42,42,3.819194148,3.819194148,213,46094.2381,13.6399791,0.5,42,-84.924319,42.443516
Kuyper College,Michigan,49525-9781,2,2,2,320.489196,6117682,7465800,0.261554131,69,95,35,48,4041,49,67,1608,68,93,3005,58,79,6956,524,14694,14694,524,14694,14694,6685970,12253458,2340780,9912678,2251539,9912678,,3228135,6,61,,,,3,2,,0,,,,67,18,0.418604651,120,345,304,,,304,41,1,1,42,345,1,1,346,1,7,13,6,264,4,25,26,1,96,103,64,23,5,5,1,1,,5,,,,,,,,,,,,1,96,103,64,23,5,5,1,1,,5,0,1,5,8,8,5,4,7,2,,1,,,,,,,,1,,,,0,1,5,8,8,5,4,8,2,,1,246,100,146,117,50,67,76,35,41,246,117,73,3,18,25,19,26,17,24,552,607,532,562,16,21,4.99236798,6.552482974,70,47491.625,14.35305794,0.432432432,16,-85.59061,43.02054
Sacred Heart Major Seminary,Michigan,48206-1799,2,2,2,227.872808,3773650,8453614,0.189072119,4,80,2,40,5475,1,20,1610,4,80,15000,1,20,2738,80,14310,14310,80,20775,20775,7544502,12588964,1448423,11140541,,11140541,,,1,11,54,,,11,3,,1,,,,66,1,0.5,58,235,48,64,64,112,187,111,111,298,235,175,175,410,0,9,16,18,345,,10,12,,6,13,10,12,2,1,3,1,0,,,,,12,23,10,11,6,2,0,,,6,13,22,35,12,12,9,3,0,,,1,2,7,2,10,15,53,91,6,,,,,3,11,6,6,33,44,8,,,1,2,10,13,16,21,86,135,14,,100,78,22,100,78,22,89,72,17,100,100,43,46,,,,,,,,,,,25,26,10.97103258,11.84871518,82,35264.44,22.38090646,0.480769231,25,-83.111975,42.375985
Saginaw Valley State University,Michigan,48710,1,2,2,8746.855681,71099791,127055032,0.139092912,1621,94,704,41,4558,658,38,648,814,47,3289,1253,72,7464,438,6462,15762,350,9406,18004,126548298,363300847,161542547,201758300,13774176,201758300,,,,1137,439,,,,,,,23,,23,1576,516,0.426799007,2506,8800,7373,288,288,7661,1427,1410,1410,2837,8800,1698,1698,10498,49,76,802,283,8412,90,328,458,7,2683,2236,1550,478,173,104,108,34,0,0,,,14,103,96,25,16,21,13,,,7,2683,2250,1653,574,198,120,129,47,0,0,13,59,128,380,315,84,102,172,76,5,93,,,0,79,499,305,207,230,90,,,13,59,128,459,814,389,309,402,166,5,93,6103,2403,3700,5244,2035,3209,1740,706,1034,6103,5244,1725,15,18,24,16,24,17,24,,,,,288,419,3.292611774,4.790292824,1219,64679.44444,8.528779109,0.407355021,288,-83.96434,43.55187
Schoolcraft College,Michigan,48152-2696,1,2,2,8126.4538,35348937,86812350,0.026218384,602,52,390,33,4201,59,5,1773,180,15,1352,169,14,4217,200,3390,5070,,,,84052842,147421151,16303616,131117535,7954969,131117535,,,1255,,,,,310,170,,,,,,1255,208,0.196969697,6760,13042,5642,,,5642,7400,,,7400,13042,,,13042,414,71,1213,313,9177,,1692,162,128,2678,1177,603,436,202,140,197,66,2,13,,,,,,,,,,,,128,2678,1177,603,436,202,140,197,66,2,13,174,948,1096,1149,1139,691,646,1003,532,20,2,,,,,,,,,,,,174,948,1096,1149,1139,691,646,1003,532,20,2,,,,,,,,,,,,,,,,,,,,,,,,98,409,1.205938069,5.032945613,916,78965.91837,4.749919331,0.193293886,98,-83.432718,42.419149
Siena Heights University,Michigan,49221,2,2,2,1547.068559,26421413,34423537,0.248487013,203,99,123,60,4578,167,81,1495,203,99,9579,179,87,10088,600,18610,18610,500,8010,8010,23525097,35225923,14716607,20509316,1126036,20509316,,6982235,10,678,135,,,,,,,11,,11,823,72,0.382978723,647,2028,997,35,35,1032,1031,288,288,1319,2028,323,323,2351,7,22,284,82,1364,,553,39,21,332,277,140,70,49,32,58,16,2,0,,,0,13,10,7,1,3,1,,0,21,332,277,153,80,56,33,61,17,2,0,11,5,31,118,176,142,132,235,158,4,19,,,1,20,55,45,47,66,50,,4,11,5,32,138,231,187,179,301,208,4,23,919,374,545,604,240,364,209,103,106,919,604,205,4,17,21,14,20,15,20,,,,,66,134,4.26613285,9.6311181,381,49005.63636,13.25086718,0.306976744,66,-84.014564,41.905213
St Clair County Community College,Michigan,48061-5015,1,2,2,3172.194249,15942104,37201138,0.006215491,523,75,273,39,4014,88,13,2088,152,22,968,159,23,4097,80,5347,7672,,,,36344572,61481346,9345619,52135727,1172103,52135727,,,571,,,,,,147,,,,,,571,135,0.206422018,1289,4884,2307,,,2307,2577,,,2577,4884,,,4884,49,27,131,81,3759,,826,11,54,978,363,156,201,135,140,184,93,1,2,,,,,,,,,,,,54,978,363,156,201,135,140,184,93,1,2,302,362,309,308,329,264,211,345,115,5,27,,,,,,,,,,,,302,362,309,308,329,264,211,345,115,5,27,,,,,,,,,,,,,,,,,,,,,,,,69,223,2.175150529,7.02983432,445,73987.08696,5.106875156,0.23630137,69,-82.427387,42.977904
Southwestern Michigan College,Michigan,49047-9793,1,2,2,1965.634344,15345158,34996696,,423,85,303,61,4488,10,2,485,204,41,1750,141,28,4668,837,3495,3790,,,,33523037,67360583,26367524,40993059,425476,40993059,,,256,,,,,30,46,,,,,,256,66,0.181818182,929,2970,1458,,,1458,1512,,,1512,2970,,,2970,31,22,219,83,2368,,195,52,17,617,270,125,120,68,82,97,56,0,6,,,,,,,,,,,,17,617,270,125,120,68,82,97,56,0,6,148,180,178,194,194,137,142,184,122,26,7,,,,,,,,,,,,148,180,178,194,194,137,142,184,122,26,7,,,,,,,,,,,,,,,,,,,,,,,,54,101,2.747204747,5.138290359,305,52800,7.681998458,0.348387097,54,-86.078113,41.967045
Spring Arbor University,Michigan,49283-9799,2,2,2,3187.228599,47965259,60667580,0.306060664,381,100,184,48,5920,252,66,1736,379,99,8566,311,82,8542,540,19250,19250,0,5385,5385,51741687,93337975,45696589,47641386,7043777,47641386,,7904975,6,705,423,,,,,,0,,,,1134,167,0.562289562,865,2866,1978,617,617,2595,888,637,637,1525,2866,1254,1254,4120,21,36,509,89,3386,,46,33,20,617,558,214,118,105,113,153,80,,,,,1,24,122,114,83,156,115,2,0,20,617,559,238,240,219,196,309,195,2,0,78,17,22,78,123,114,147,194,115,,,,,0,37,131,122,98,151,97,0,1,78,17,22,115,254,236,245,345,212,0,1,2026,697,1325,1585,526,1057,381,140,241,2026,1585,381,0,20,26,19,26,18,25,470,595,475,595,109,276,3.419899032,8.659560851,650,47191.61468,11.45195547,0.283116883,109,-84.553858,42.205322
Finlandia University,Michigan,49930-1832,2,2,2,539.214274,9937904,15901835,0.281709101,111,98,77,68,5946,75,66,1943,111,98,6161,99,88,7038,500,17936,17936,,,,11946277,24098363,9925628,14172735,1671024,14172735,,3127199,22,66,,,,,,,,,,,88,49,0.404958678,252,568,507,,,507,82,,,82,589,,,589,5,6,25,33,468,1,48,3,34,172,138,68,38,15,9,8,3,,22,,,,,,,,,,,,34,172,138,68,38,15,9,8,3,,22,9,7,9,13,15,4,5,11,9,,0,,,,,,,,,,,,9,7,9,13,15,4,5,11,9,,0,906,327,579,527,218,309,257,112,145,906,527,239,18,,,,,,,,,,,41,38,7.603656279,7.047291185,172,41331.02778,21.14187356,0.518987342,36,-88.589101,47.126432
Washtenaw Community College,Michigan,48105-4800,1,2,2,8317.958346,32003958,112059252,0.015412062,805,70,532,46,5452,75,6,1832,77,7,2725,409,35,5547,168,2976,4008,,,,115537064,179847422,52751068,127096354,12494609,127096354,,,1229,,,,,1843,119,1,,,,,1229,137,0.153932584,3572,14202,5344,,,5344,8858,,,8858,14202,,,14202,129,401,2467,422,9488,,1011,284,384,1830,1060,661,546,263,215,252,130,3,,,,,,,,,,,,,384,1830,1060,661,546,263,215,252,130,3,,253,1031,1180,1417,1401,952,755,1110,648,111,,,,,,,,,,,,,253,1031,1180,1417,1401,952,755,1110,648,111,,,,,,,,,,,,,,,,,,,,,,,,,205,798,2.464547086,9.593700363,1694,63661.34146,7.093086734,0.204386839,205,-83.665779,42.266106
Wayne County Community College District,Michigan,48226,1,2,2,10123.8569,40464885,136286421,0.045836755,1116,82,1016,75,6018,162,12,1880,14,1,3589,604,44,4211,258,2400,3120,,,,154919438,257835429,35739332,222096097,8243022,222096097,,,1259,,,,,16,127,,,,,,1259,74,0.071984436,13758,20770,4743,,,4743,16027,,,16027,20770,,,20770,80,251,11053,310,3422,,5610,44,76,1060,789,671,632,466,372,481,184,3,9,,,,,,,,,,,,76,1060,789,671,632,466,372,481,184,3,9,1117,1908,1968,2046,2326,1780,1639,1970,1002,166,105,,,,,,,,,,,,1117,1908,1968,2046,2326,1780,1639,1970,1002,166,105,,,,,,,,,,,,,,,,,,,,,,,,110,904,1.086542422,8.929403181,1517,65974.38182,4.800541976,0.108481262,110,-83.054299,42.327701
Wayne State University,Michigan,48202,1,1,2,23985.84612,296952984,815787691,0.164706467,2509,91,1558,56,5914,229,8,735,2092,76,4242,1621,59,6142,1072,8247,18931,1178,10956,24196,806838968,1592405514,697678982,894726532,57867616,894726532,,,,2489,2031,180,537,,,,27,213,,213,5237,795,0.309338521,5284,20765,13202,5868,5868,19070,7563,5153,5153,12716,20765,11021,11021,31786,156,2202,8420,795,15882,,2516,1815,474,4558,3486,2600,1070,429,252,222,104,5,2,3,6,169,1967,1979,777,384,393,176,14,0,477,4564,3655,4567,3049,1206,636,615,280,19,2,55,570,857,1752,1734,825,600,733,396,40,1,1,1,15,555,1470,966,691,886,530,23,15,56,571,872,2307,3204,1791,1291,1619,926,63,16,9743,3728,6015,7690,2874,4816,2917,1159,1758,9743,7690,2625,292,17,23,16,23,16,23,,,,,1810,1052,7.546116953,8.475831915,8124,83435.25877,21.49184138,0.470986209,1055,-83.058401,42.363097
West Shore Community College,Michigan,49454-0277,1,2,2,958.484615,3109533,16898426,0.037392753,148,84,116,66,3944,32,18,1769,46,26,366,25,14,3938,194,3024,4032,,,,16244106,36971119,3464581,33506538,2413178,33506538,,,178,,,,,7,29,,,,,,178,28,0.193103448,508,1553,658,,,658,895,,,895,1553,,,1553,32,8,13,54,1380,,66,0,28,291,108,62,54,33,33,37,8,0,4,,,,,,,,,,,,28,291,108,62,54,33,33,37,8,0,4,180,94,103,96,128,81,60,76,50,3,24,,,,,,,,,,,,180,94,103,96,128,81,60,76,50,3,24,,,,,,,,,,,,,,,,,,,,,,,,27,70,2.816946624,7.30319495,171,69258.7037,9.911478861,0.278350515,27,-86.338481,43.90119
Western Michigan University,Michigan,49008-5167,1,2,2,20526.08818,228609805,466521828,0.233766198,2522,80,1090,34,4391,353,11,497,1778,56,4447,2033,64,5869,728,7654,18774,728,9639,20415,494820389,816887888,488712665,328175223,73510017,328175223,,,,3820,1334,102,8,,,,31,1,,1,5264,1943,0.521610738,4969,19547,17043,1024,1024,18067,2504,4005,4005,6509,19547,5029,5029,24576,163,466,1900,645,19117,,1031,1254,278,5951,6107,3480,760,239,98,102,26,0,2,,,16,434,322,112,50,63,26,0,1,278,5951,6123,3914,1082,351,148,165,52,0,3,63,183,383,810,513,193,126,155,73,3,2,,,22,597,1296,712,458,556,330,14,20,63,183,405,1407,1809,905,584,711,403,17,22,12379,5751,6628,10253,4623,5630,3193,1584,1609,12379,10253,3163,30,20,25,19,25,19,25,,,,,876,550,4.267739631,6.791357358,4232,77635.16589,12.86168108,0.385903084,862,-85.609338,42.285014
Alexandria Technical College,Minnesota,56308,1,2,2,1924.928517,11276000,26793000,0.003813409,531,89,289,48,3989,313,52,1289,144,24,855,381,64,6462,563,4715,4715,,,,26862000,37525000,12966000,24559000,663000,24559000,,,408,,,,,236,135,84,,,,,408,282,0.50994575,1392,2550,1609,,,1609,941,,,941,2550,,,2550,21,20,21,18,2387,,81,2,85,804,294,129,115,51,42,52,36,1,0,,,,,,,,,,,,85,804,294,129,115,51,42,52,36,1,0,226,101,93,96,124,73,53,84,68,12,11,,,,,,,,,,,,226,101,93,96,124,73,53,84,68,12,11,,,,,,,,,,,,,,,,,,,,,,,,72,69,3.740398636,3.584548693,266,62836.80556,8.208097007,0.510638298,72,-95.373057,45.874073
Anoka-Ramsey Community College,Minnesota,55433-3470,1,2,2,5812.229856,26750000,51506000,0.032224299,908,73,404,33,4044,314,25,813,86,7,1570,609,49,4908,504,3704,3704,,,,50371000,66478000,18313000,48165000,2766000,48165000,,,777,,,,,49,15,,,,,,777,204,0.170568562,4280,9192,4104,,,4104,5088,,,5088,9192,,,9192,104,295,558,141,7928,,150,16,456,1834,731,393,270,170,104,108,28,0,10,,,,,,,,,,,,456,1834,731,393,270,170,104,108,28,0,10,935,624,630,664,772,470,312,469,185,4,23,,,,,,,,,,,,935,624,630,664,772,470,312,469,185,4,23,,,,,,,,,,,,,,,,,,,,,,,,120,171,2.064612085,2.942072221,541,60785.41667,5.677683233,0.412371134,120,-93.347806,45.173592
Augsburg College,Minnesota,55454,2,2,2,3468.432376,74782166,75948065,0.289584993,453,99,202,44,4825,242,53,4906,442,96,13700,386,84,7022,608,27020,27020,0,12084,12084,72366266,120527957,53791522,66736435,3530439,66736435,,30542502,,627,192,,,,0,,,0,,0,819,211,0.596045198,826,3119,2570,554,554,3124,549,337,337,886,3119,891,891,4010,79,223,279,116,2893,,379,41,11,785,782,386,242,145,68,107,43,1,0,,,2,92,217,97,55,59,32,0,0,11,785,784,478,459,242,123,166,75,1,0,0,4,15,89,95,90,66,132,50,2,6,,,1,15,81,64,34,84,55,1,2,0,4,16,104,176,154,100,216,105,3,8,2360,1154,1206,1218,575,643,465,221,244,2360,1218,459,6,19,25,18,24,18,25,473,628,450,590,195,264,5.622136425,7.611507776,830,58654.6359,14.27157708,0.424836601,195,-93.240749,44.967384
Riverland Community College,Minnesota,55912-1473,1,2,2,2387.022036,12854000,29744000,0.004512214,462,86,287,54,4081,272,51,1864,25,5,729,347,65,5677,602,4576,4576,,,,29314000,27104000,9147000,17957000,765000,17957000,,,347,,,,,118,94,61,,,,,347,194,0.407563025,1529,3867,1639,,,1639,2228,,,2228,3867,,,3867,24,60,149,223,3381,,4,26,124,537,285,187,174,117,75,100,38,1,1,,,,,,,,,,,,124,537,285,187,174,117,75,100,38,1,1,440,162,144,160,272,183,181,315,278,62,31,,,,,,,,,,,,440,162,144,160,272,183,181,315,278,62,31,,,,,,,,,,,,,,,,,,,,,,,,78,110,3.267669876,4.608252389,316,61858.97436,8.043495079,0.414893617,78,-93.000256,43.674022
Bemidji State University,Minnesota,56601,1,2,2,4254.735402,30634000,73003000,0.068681857,685,87,238,30,4903,318,40,2395,195,25,2386,562,71,7942,910,6291,6291,800,5688,5688,67651000,95998000,37026000,58972000,1063000,58972000,,,45,731,97,,,,,,,,,,873,307,0.518581081,1678,4730,3582,76,76,3658,1148,369,369,1517,4730,445,445,5175,184,64,56,31,4477,,221,142,40,1292,1133,628,210,110,54,79,31,2,3,,,0,18,23,10,4,14,3,1,3,40,1292,1133,646,233,120,58,93,34,3,6,229,88,78,163,164,112,109,122,58,8,17,,,2,41,96,53,42,80,36,2,17,229,88,80,204,260,165,151,202,94,10,34,2167,1052,1115,1747,859,888,810,416,394,2167,1747,795,15,19,24,18,23,18,25,,,,,159,110,3.737012645,2.58535466,578,69761.48428,10.36492187,0.591078067,159,-94.875584,47.482884
Bethany Lutheran College,Minnesota,56001,2,2,2,632.035711,11959906,21019618,0.424130842,161,97,72,43,5194,64,39,5725,161,97,8951,137,83,7127,300,19350,19350,,,,16475329,87890928,9934459,77956469,9204378,77956469,,27547372,,137,,,,,,,,,,,137,61,0.39869281,201,646,623,,,623,23,,,23,646,,,646,4,19,21,7,548,,47,0,15,298,233,69,6,2,0,0,0,,,,,,,,,,,,,,15,298,233,69,6,2,0,0,0,,,7,3,1,7,2,0,1,1,1,,,,,,,,,,,,,,7,3,1,7,2,0,1,1,1,,,435,181,254,359,146,213,166,59,107,435,359,166,0,19,26,18,27,18,25,,,,,39,23,6.170537411,3.639034884,185,58084.53846,19.61914459,0.629032258,39,-93.9904,44.16557
Bethel University,Minnesota,55112-6902,2,2,2,4410.980875,93827535,106256571,0.262473761,643,100,192,30,5775,225,35,5381,642,99,11282,467,72,8366,120,26900,26900,0,5280,5280,104048589,150323044,88213192,62109852,7470658,62109852,,34968190,17,843,408,4,13,,,,22,22,,22,1285,458,0.685628743,1053,3399,2773,1024,1024,3797,638,951,951,1589,3411,1975,1975,5386,13,151,266,86,4204,,624,42,71,1196,1141,286,41,14,7,11,6,0,0,,1,3,138,247,133,110,195,151,7,39,71,1197,1144,424,288,147,117,206,157,7,39,4,7,26,40,83,89,65,152,73,1,98,,0,0,67,212,155,126,200,169,4,18,4,7,26,107,295,244,191,352,242,5,116,2618,962,1656,2043,761,1282,913,388,525,2618,2043,886,27,21,28,21,28,21,28,510,668,513,678,236,260,5.350283909,5.894380578,991,63653.98305,15.16669464,0.475806452,236,-93.160061,45.058404
Carleton College,Minnesota,55057-4001,2,2,2,2001.107141,78925879,183728965,0.353644766,432,82,89,17,5951,25,5,5959,349,66,23524,246,47,4900,231,39546,39546,,,,111542293,907853562,172833223,735020339,3561609,735020339,,617591249,,497,,,,,,,,,,,497,455,0.934291581,552,2009,1996,,,1996,13,,,13,2009,,,2009,14,193,92,110,1381,,69,150,28,932,937,97,2,0,0,,,,0,,,,,,,,,,,,28,932,937,97,2,0,0,,,,0,0,0,2,3,3,3,1,,,,1,,,,,,,,,,,,0,0,2,3,3,3,1,,,,1,4784,2084,2700,1459,692,767,528,255,273,4784,1459,528,0,29,33,,,,,660,740,660,760,222,49,11.09385877,2.448644503,757,88926.64414,27.38484056,0.819188192,222,-93.155528,44.461391
Concordia College at Moorhead,Minnesota,56562,2,2,2,2767.644493,77892709,106139343,0.348009658,715,99,171,24,6131,223,31,4052,699,96,11848,525,72,8330,210,25550,25550,0,3288,3288,84505631,275955009,92671277,183283732,18044699,183283732,,128383961,,532,5,,,,,,,,,,537,516,0.671875,834,2788,2740,,,2740,48,23,23,71,2788,23,23,2811,5,35,19,22,2424,,219,87,9,1057,1300,341,21,6,2,3,0,,1,,,,,,,,,,,,9,1057,1300,341,21,6,2,3,0,,1,11,3,8,15,3,2,2,2,2,,0,,1,2,1,3,3,,2,,,11,11,4,10,16,6,5,2,4,2,,11,2851,1142,1709,2254,867,1387,726,292,434,2851,2254,725,1,22,28,22,29,22,28,523,658,510,680,194,54,7.009570792,1.951117643,778,60221.46392,24.28057511,0.782258065,194,-96.770257,46.864653
Concordia University-Saint Paul,Minnesota,55104-5494,2,2,2,2580.819699,36188496,40090165,0.257664811,183,100,87,48,5369,92,50,3974,183,100,10547,149,81,8356,0,26400,26400,0,11000,11000,35527528,85600841,35361203,50239638,5033147,50239638,,18208866,2,420,483,,,0,,,130,,,,905,94,0.534090909,642,1790,1423,1006,1006,2429,367,20,20,387,1790,1026,1026,2816,6,178,213,39,1613,66,694,7,70,325,311,186,143,113,94,147,33,1,0,,,1,67,270,187,152,223,103,2,1,70,325,312,253,413,300,246,370,136,3,1,162,24,6,27,32,32,28,37,13,0,6,,,0,1,6,1,7,4,1,0,0,162,24,6,28,38,33,35,41,14,0,6,1106,528,578,621,288,333,184,101,83,1106,621,183,1,18,24,16,23,17,24,470,540,490,610,70,212,2.712316557,8.21444443,516,44710.74286,9.648097467,0.24822695,70,-93.154265,44.950002
Dakota County Technical College,Minnesota,55068-2999,1,2,2,2339.099028,14495000,31669000,0.019110038,367,80,169,37,4077,163,36,1255,29,6,1531,265,58,6370,624,4460,8920,,,,30272000,40950000,8843000,32107000,2968000,32107000,,,344,,,,,296,186,45,,,,,344,130,0.3117506,1708,3564,1720,,,1720,1844,,,1844,3564,,,3564,24,101,244,112,2799,,255,29,19,496,354,288,209,120,80,90,61,2,1,,,,,,,,,,,,19,496,354,288,209,120,80,90,61,2,1,25,98,172,213,315,212,168,323,200,5,113,,,,,,,,,,,,25,98,172,213,315,212,168,323,200,5,113,,,,,,,,,,,,,,,,,,,,,,,,77,98,3.29186576,4.189647331,317,62561.81818,7.738022112,0.44,77,-93.079343,44.738886
Martin Luther College,Minnesota,56073-3965,2,2,2,750.351265,10649608,19456827,0.181687063,143,91,59,37,4288,9,6,4289,129,82,3378,99,63,5673,0,10660,10660,,,,14347079,46608794,9394458,37214336,3061154,37214336,,7148587,,133,6,,,18,0,1,,,,,139,131,0.711956522,193,757,702,,,702,55,70,70,125,757,70,70,827,2,5,4,5,792,2,3,14,1,298,309,77,12,4,0,0,1,0,,,,,,,,,,,,,1,298,309,77,12,4,0,0,1,0,,4,0,1,4,10,2,2,10,19,3,,,,,5,15,21,11,12,6,,,4,0,1,9,25,23,13,22,25,3,,213,100,113,209,97,112,159,75,84,213,209,159,0,22,27,22,27,22,27,,,,,49,12,6.530274857,1.599250985,129,,13.72690429,0.803278689,,-94.471386,44.305133
Minnesota State Community and Technical College,Minnesota,56537-1000,1,2,2,4559.85999,24173000,52790000,0.018078021,876,90,518,53,4141,372,38,1116,41,4,1183,672,69,5759,651,4310,4310,,,,51529000,50084000,17714000,32370000,1181000,32370000,,,943,,,,,104,206,142,,,,,943,315,0.319472617,3075,6732,3462,,,3462,3270,,,3270,6732,,,6732,161,73,228,112,5977,,176,5,125,1139,721,496,430,210,115,151,74,1,0,,,,,,,,,,,,125,1139,721,496,430,210,115,151,74,1,0,917,396,341,377,471,247,163,223,89,7,39,,,,,,,,,,,,917,396,341,377,471,247,163,223,89,7,39,,,,,,,,,,,,,,,,,,,,,,,,176,148,3.859767633,3.245713691,575,59571.02273,8.245867216,0.543209877,176,-96.097942,46.285147
